epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1842.5,3.10273,6.47698,1.60689,0.00101,0.09813,0.00357,0.00087,3.26481,7.1554,1.50395,0.00065812,0.00065812,0.00065812
2,2701.44,2.84676,4.5285,1.44496,0.08815,0.20093,0.04232,0.01042,3.30611,6.06067,1.5653,0.00129856,0.00129856,0.00129856
3,3665.63,2.82029,3.48382,1.46873,0.13101,0.15888,0.0412,0.00931,3.36559,6.11404,1.5514,0.00191259,0.00191259,0.00191259
4,4417.22,2.82554,3.06476,1.48563,0.00224,0.08411,0.00056,0.00016,3.7297,35.6812,1.7867,0.0018812,0.0018812,0.0018812
5,5206.37,2.79827,2.93925,1.47631,0.06453,0.09896,0.02516,0.00522,3.75059,22.2215,1.74387,0.0018416,0.0018416,0.0018416
6,6062.77,2.82152,2.8383,1.47872,0.17789,0.20561,0.12037,0.02611,3.18001,2.81159,1.39456,0.001802,0.001802,0.001802
7,6879.17,2.70612,2.71118,1.43763,0.12419,0.19159,0.04636,0.01015,3.47111,7.28312,1.55905,0.0017624,0.0017624,0.0017624
8,7622.92,2.70253,2.78915,1.44023,0.09586,0.17757,0.0405,0.00919,3.25013,5.15939,1.47405,0.0017228,0.0017228,0.0017228
9,8383.55,2.69098,2.72833,1.4154,0.05928,0.18692,0.03109,0.00652,3.16492,3.21277,1.38891,0.0016832,0.0016832,0.0016832
10,9094.7,2.69941,2.67555,1.43534,0.1522,0.20093,0.07636,0.01877,3.27423,3.68073,1.47574,0.0016436,0.0016436,0.0016436
11,9845.8,2.69531,2.65701,1.43892,0.03188,0.0514,0.00504,0.00092,3.55402,21.483,1.64643,0.001604,0.001604,0.001604
12,10753.3,2.70004,2.6399,1.4321,0.18045,0.18692,0.07602,0.01728,3.30087,4.18749,1.48024,0.0015644,0.0015644,0.0015644
13,11578.3,2.68824,2.56405,1.41859,0.20268,0.28505,0.11876,0.02663,3.01609,2.99231,1.33404,0.0015248,0.0015248,0.0015248
14,12637.6,2.66398,2.63893,1.36965,0.16203,0.20561,0.07685,0.01699,3.34932,3.1237,1.4832,0.0014852,0.0014852,0.0014852
15,13672.3,2.61935,2.54215,1.39128,0.13198,0.20561,0.07041,0.01391,3.29196,3.47759,1.49659,0.0014456,0.0014456,0.0014456
16,15406.1,2.63057,2.56945,1.37873,0.12463,0.24299,0.06473,0.01544,3.20238,2.62116,1.40701,0.001406,0.001406,0.001406
17,16594,2.61477,2.65721,1.39327,0.1376,0.24299,0.08892,0.02378,3.18293,2.74034,1.37618,0.0013664,0.0013664,0.0013664
18,17662.9,2.61168,2.59716,1.37595,0.18883,0.24766,0.11035,0.02556,3.20228,2.9754,1.42756,0.0013268,0.0013268,0.0013268
19,18735.4,2.59297,2.52028,1.36924,0.16538,0.26574,0.10204,0.02329,3.12337,2.67396,1.36419,0.0012872,0.0012872,0.0012872
20,20479.6,2.61597,2.50799,1.3967,0.15017,0.26636,0.0932,0.01933,3.26138,2.93732,1.46518,0.0012476,0.0012476,0.0012476
21,21799.6,2.59682,2.52116,1.37905,0.16071,0.23364,0.08292,0.01775,3.18754,3.16602,1.38857,0.001208,0.001208,0.001208
22,24073.5,2.58794,2.50062,1.37933,0.15085,0.20561,0.0696,0.01713,3.23079,3.82587,1.44648,0.0011684,0.0011684,0.0011684
23,25774.4,2.57049,2.52834,1.37311,0.17063,0.23364,0.09427,0.0226,3.27714,2.89025,1.46142,0.0011288,0.0011288,0.0011288
